Species,Family,MaxSizeTL_MB18,Max_Size_MB19,Length_Max_TL_Chagos,MaxSizeTL_OG,MaxSizeTL,MaxSizeTL_Prod,Diet_MB18,Diet_MB19,Diet_Chagos,Diet_OG,Diet,Position_MB18,Position_MB19,Position_OG,Position,a_MB18,b_MB18,a_MB19,b_MB19,a_Chagos,b_Chagos,a_Bayes_Fishbase,b_Bayes_Fishbase,a,b
Plectroglyphidodon lacrymatus,Pomacentridae,NA,10,10,10,10,10,NA,Omnivr,Herbivore,HerDet,Omnivr,NA,BnthDw,BnthDw,BnthDw,NA,NA,0.0222,3.01,0.0612,2.635,0.02089,2.99,0.02089,2.99
Plectropomus areolatus,Serranidae,NA,NA,80,80,80,80,Fish-cephalopod feeder,NA,Piscivore,FisCep,FisCep,Benthic Reef dwelling,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.0119,3.057,0.01122,3.04,0.01122,3.04
Plectropomus laevis,Serranidae,NA,NA,125,120,120,125,Fish-cephalopod feeder,NA,Piscivore,FisCep,FisCep,Benthic Reef dwelling,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.00591,3.23774,0.00977,3.06,0.00977,3.06
Pomacanthus imperator,Pomacanthidae,NA,NA,47,50,50,47,NA,NA,Invertivore,InvSes,InvSes,NA,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.02758,3,0.03467,2.92,0.03467,2.92
Pomacentrus caeruleus,Pomacentridae,NA,NA,10,10,10,10,NA,NA,Omnivore,Omnivr,Omnivr,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.3651,2.775,0.01514,2.95,0.01514,2.95
Pomacentrus indicus,Pomacentridae,NA,NA,11,10,10,11,NA,NA,Herbivore,HerDet,HerDet,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.3651,2.775,0.02291,2.99,0.02291,2.99
Pomacentrus taeniometopon,Pomacentridae,NA,NA,12,15,10,12,NA,NA,Herbivore,HerDet,HerDet,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.028,3.024,0.02291,2.99,0.02291,2.99
Pomacentrus wardi,Pomacentridae,9.9,9.9,10,10,10,10,Herbivore-detritivore,HerDet,Herbivore,HerDet,HerDet,Benthic Reef dwelling,BnthDw,BnthDw,BnthDw,0.02344,2.99,0.023,2.99,0.028,3.024,,,0.02344,2.99
Pseudocheilinus hexataenia,Labridae,NA,10,10,10,10,10,NA,InvMob,Invertivore,InvMob,InvMob,NA,BnthDw,BnthDw,BnthDw,NA,NA,0.0118,3.05,0.0167,3,0.01380,2.96,0.01380,2.96
Pygoplites diacanthus,Pomacanthidae,NA,30.9,31,30,30,31,NA,InvSes,Invertivore,InvSes,InvSes,NA,BtPlDw,BtPlDw,BtPlDw,NA,NA,0.0247,3.01,0.02762,3,0.01995,2.9,0.01995,2.9
Sargocentron spiniferum,Holocentridae,NA,53.8,54,50,50,54,NA,InvMob,Invertivore,InvMob,InvMob,NA,BtPlDw,BtPlDw,BtPlDw,NA,NA,0.0168,3.07,0.0236,2.981,0.01698,3,0.01698,3
Scarus caudofasciatus,Scaridae,NA,NA,50,50,50,50,NA,NA,Herbivore,HerDet,HerDet,NA,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01445,3.04,0.01445,3.04
Scarus falcipinnis,Scaridae,NA,NA,60,60,60,60,NA,NA,Herbivore,HerDet,HerDet,NA,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0279,3.06,0.01445,3.04,0.01445,3.04
Scarus frenatus,Scaridae,NA,NA,47,50,50,47,Herbivore-detritivore,HerDet,Herbivore,HerDet,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0279,3.06,0.02138,3.09,0.02138,3.09
Scarus ghobban,Scaridae,NA,NA,75,100,80,75,Herbivore-detritivore,NA,Herbivore,HerDet,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0169,3.049,0.01445,3.04,0.01445,3.04
Scarus globiceps,Scaridae,NA,NA,45,50,50,45,NA,HerDet,Herbivore,HerDet,HerDet,NA,BtPlDw,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01047,3.09,0.01047,3.09
Scarus niger,Scaridae,NA,NA,40,40,40,40,Herbivore-detritivore,NA,Herbivore,HerDet,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0142,3.14,0.01549,3.11,0.01549,3.11
Scarus prasiognathos,Scaridae,NA,NA,70,70,70,70,NA,NA,Herbivore,HerDet,HerDet,NA,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01122,3.08,0.01122,3.08
Scarus psittacus,Scaridae,NA,NA,34,35,35,35,Herbivore-detritivore,HerDet,Herbivore,HerDet,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01585,3.05,0.01585,3.05
Scarus rubroviolaceus,Scaridae,NA,NA,70,70,70,70,Herbivore-detritivore,NA,Herbivore,HerDet,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0273,2.93,0.01318,3.09,0.01318,3.09
Scarus scaber,Scaridae,NA,NA,37,35,35,37,Herbivore-detritivore,NA,Herbivore,HerDet,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.0138,3.01,0.0138,3.01
Scarus tricolor,Scaridae,NA,NA,37,35,35,37,NA,NA,Herbivore,HerDet,HerDet,NA,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0222,2.982,0.01778,3.08,0.01778,3.08
Siganus argenteus,Siganidae,40,40,40,40,40,40,Herbivore-macroalgae feeder,HerDet,Herbivore,HerMac,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,0.01413,3,0.0144,3.08,0.0131,3.088,0.01479,2.99,0.01479,2.99
Stegastes fasciolatus,Pomacentridae,NA,15,17,20,15,16,NA,HerDet,Herbivore,HerDet,HerDet,NA,BnthDw,BnthDw,BnthDw,NA,NA,0.0251,3.04,0.1681,2.367,,,0.0251,3.04
Stegastes gascoynei,Pomacentridae,NA,NA,15,15,15,15,NA,NA,Herbivore,HerDet,HerDet,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.0395,2.989,0.0195,2.99,0.0195,2.99
Stegastes lividus,Pomacentridae,NA,NA,11,10,10,11,NA,NA,Herbivore,HerDet,HerDet,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.0652,2.741,,,0.0195,2.99
Stegastes nigricans,Pomacentridae,14,14,14,15,15,14,Herbivore-detritivore,Omnivr,Herbivore,HerDet,Omnivr,Benthic Reef dwelling,BnthDw,BnthDw,BnthDw,0.02512,3.02,0.0251,3.04,0.1681,2.367,0.02455,3.02,0.02455,3.02
Stethojulis albovittata,Labridae,14,NA,14,15,15,14,Mobile invertebrate feeder,NA,Invertivore,InvMob,InvMob,Benthic Reef dwelling,NA,BnthDw,BnthDw,0.01,3.06,NA,NA,0.0128,3.077,0.01072,3.05,0.01072,3.05
Stethojulis strigiventer,Labridae,NA,15,15,15,15,15,NA,InvMob,Invertivore,InvMob,InvMob,NA,BnthDw,BnthDw,BnthDw,NA,NA,0.0129,3.05,0.019083913,2.876257644,0.00891,2.98,0.00891,2.98
Sufflamen chrysopterus,Balistidae,NA,NA,30,30,30,30,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BnthDw,BtPlDw,NA,NA,NA,NA,0.031,2.95,0.01995,2.95,0.01995,2.95
Thalassoma amblycephalum,Labridae,NA,20.3,20,20,20,20,NA,Plktiv,Planktivore,Plktiv,Plktiv,NA,BtPlDw,BtPlDw,BtPlDw,NA,NA,0.0128,3.06,0.0238,2.749,0.00977,3.01,0.00977,3.01
Thalassoma hardwicke,Labridae,20,20,20,20,20,20,Mobile invertebrate feeder,InvMob,Invertivore,InvMob,InvMob,Benthic Reef dwelling,BnthDw,BnthDw,BnthDw,0.00977,3.05,0.0128,3.06,0.0139,3.048,0.01023,3.04,0.01023,3.04
Thalassoma hebraicum,Labridae,NA,NA,23,25,25,23,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.0238,2.749,0.01288,3.05,0.01288,3.05
Thalassoma purpureum,Labridae,NA,NA,46,50,50,46,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.0123,3.077,0.01318,3.05,0.01318,3.05
Thalassoma quinquevittatum,Labridae,NA,NA,17,20,15,17,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.01386619,3,0.01,3.02,0.01,3.02
Variola louti,Serranidae,NA,NA,83,80,80,83,Fish-cephalopod feeder,NA,Piscivore,FisCep,FisCep,Benthic Reef dwelling,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.012,3.081,0.01096,3.03,0.01096,3.03
Zanclus cornutus,Zanclidae,NA,23,23,25,25,23,NA,InvSes,Invertivore,InvSes,InvSes,NA,BnthDw,BtPlDw,BnthDw,NA,NA,0.021,3.11,0.0147,3.36991,0.01698,3.06,0.01698,3.06
Zebrasoma desjardinii,Acanthuridae,NA,NA,40,40,40,40,NA,NA,Herbivore,HerDet,HerDet,NA,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0304,2.957,0.02042,2.96,0.02042,2.96
Zebrasoma scopas,Acanthuridae,23.3,25,48,25,25,25,Herbivore-detritivore,HerDet,Herbivore,HerDet,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,0.02399,2.99,0.0275,3.03,0.0304,2.957,0.02138,2.98,0.02138,2.98
